"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"BB_N_PathOfTravelShape","44.574401172","-123.275209604",244,
"BB_N_PathOfTravelShape","44.574468433","-123.275212355",245,
"BB_N_PathOfTravelShape","44.574555556","-123.275213184",246,
"BB_N_PathOfTravelShape","44.574714224","-123.275216971",247,
"BB_N_PathOfTravelShape","44.574937381","-123.275228177",248,
"BB_N_PathOfTravelShape","44.575149573","-123.275238857",249,
"BB_N_PathOfTravelShape","44.575314900","-123.275243923",250,
"BB_N_PathOfTravelShape","44.575467622","-123.275248863",251,
"BB_N_PathOfTravelShape","44.576036415","-123.275260845",252,
"BB_N_PathOfTravelShape","44.576192392","-123.275265942",253,
"BB_N_PathOfTravelShape","44.576332875","-123.275269816",254,
"BB_N_PathOfTravelShape","44.576520037","-123.275276412",255,
"BB_N_PathOfTravelShape","44.576725453","-123.275280046",256,
"BB_N_PathOfTravelShape","44.576931299","-123.275283700",257,
"BB_N_PathOfTravelShape","44.577038507","-123.275287414",258,
"BB_N_PathOfTravelShape","44.577101447","-123.275288039",259,
"BB_N_PathOfTravelShape","44.577208262","-123.275290293",260,
"BB_N_PathOfTravelShape","44.577390942","-123.275294275",261,
"BB_N_PathOfTravelShape","44.577564551","-123.275297339",262,
"BB_N_PathOfTravelShape","44.577735848","-123.275300294",263,
"BB_N_PathOfTravelShape","44.577913742","-123.275303565",264,
"BB_N_PathOfTravelShape","44.577973356","-123.275306911",265,
"BB_N_PathOfTravelShape","44.578032814","-123.275313130",266,
"BB_N_PathOfTravelShape","44.578092104","-123.275322699",267,
"BB_N_PathOfTravelShape","44.578133294","-123.275332359",268,
"BB_N_PathOfTravelShape","44.578174071","-123.275344880",269,
"BB_N_PathOfTravelShape","44.578214250","-123.275360732",270,
"BB_N_PathOfTravelShape","44.578253858","-123.275378957",271,
"BB_N_PathOfTravelShape","44.578292783","-123.275400508",272,
"BB_N_PathOfTravelShape","44.578403341","-123.275477345",273,
"BB_N_PathOfTravelShape","44.578538660","-123.275583216",274,
"BB_N_PathOfTravelShape","44.578617059","-123.275649386",275,
"BB_N_PathOfTravelShape","44.578682465","-123.275706774",276,
"BB_N_PathOfTravelShape","44.578693475","-123.275715943",277,
"BB_N_PathOfTravelShape","44.578735902","-123.275752064",278,
"BB_N_PathOfTravelShape","44.578799137","-123.275793027",279,
"BB_N_PathOfTravelShape","44.578861318","-123.275842099",280,
"BB_N_PathOfTravelShape","44.578941002","-123.275897773",281,
"BB_N_PathOfTravelShape","44.578963422","-123.275910371",282,
"BB_N_PathOfTravelShape","44.578993872","-123.275924315",283,
"BB_N_PathOfTravelShape","44.579024906","-123.275935408",284,
"BB_N_PathOfTravelShape","44.579056438","-123.275943645",285,
"BB_N_PathOfTravelShape","44.579088310","-123.275948536",286,
"BB_N_PathOfTravelShape","44.579120253","-123.275950552",287,
"BB_N_PathOfTravelShape","44.579130533","-123.275951046",288,
"BB_N_PathOfTravelShape","44.579219358","-123.275952438",289,
"BB_N_PathOfTravelShape","44.579308166","-123.275950948",290,
"BB_N_PathOfTravelShape","44.579396974","-123.275946098",291,
"BB_N_PathOfTravelShape","44.579522105","-123.275943697",292,
"BB_N_PathOfTravelShape","44.579619993","-123.275941940",293,
"BB_N_PathOfTravelShape","44.579734884","-123.275943623",294,
"BB_N_PathOfTravelShape","44.579889928","-123.275944839",295,
"BB_N_PathOfTravelShape","44.580054624","-123.275944117",296,
"BB_N_PathOfTravelShape","44.580225848","-123.275946590",297,
"BB_N_PathOfTravelShape","44.580366978","-123.275948575",298,
"BB_N_PathOfTravelShape","44.580479875","-123.275951124",299,
"BB_N_PathOfTravelShape","44.580578169","-123.275951050",300,
"BB_N_PathOfTravelShape","44.580773857","-123.275952779",301,
"BB_N_PathOfTravelShape","44.580973849","-123.275953754",302,
"BB_N_PathOfTravelShape","44.581150712","-123.275953617",303,
"BB_N_PathOfTravelShape","44.581381876","-123.275956573",304,
"BB_N_PathOfTravelShape","44.581537496","-123.275958774",305,
"BB_N_PathOfTravelShape","44.581574970","-123.275959137",306,
"BB_N_PathOfTravelShape","44.581599495","-123.275959355",307,
"BB_N_PathOfTravelShape","44.581691181","-123.275959443",308,
"BB_N_PathOfTravelShape","44.581850679","-123.275960873",309,
"BB_N_PathOfTravelShape","44.582017568","-123.275961697",310,
"BB_N_PathOfTravelShape","44.582197526","-123.275961230",311,
"BB_N_PathOfTravelShape","44.582430931","-123.275963811",312,
"BB_N_PathOfTravelShape","44.582604931","-123.275964977",313,
"BB_N_PathOfTravelShape","44.582772337","-123.275969187",314,
"BB_N_PathOfTravelShape","44.582896625","-123.275968924",315,
"BB_N_PathOfTravelShape","44.582979134","-123.275969050",316,
"BB_N_PathOfTravelShape","44.583721442","-123.275974022",317,
"BB_N_PathOfTravelShape","44.584370172","-123.275979479",318,
"BB_N_PathOfTravelShape","44.584768279","-123.275981707",319,
"BB_N_PathOfTravelShape","44.584864484","-123.275981941",320,
"BB_N_PathOfTravelShape","44.585002654","-123.275985704",321,
"BB_N_PathOfTravelShape","44.585211030","-123.275987562",322,
"BB_N_PathOfTravelShape","44.585365871","-123.275993568",323,
